scenario,repeat,scheduler,n,workers,split_depth,abp_capacity,chase_log_capacity,steal_attempt_budget,solutions,known_solutions,correct,elapsed_seconds,sequential_seconds,speedup,tasks_created,tasks_scheduled,tasks_completed,tasks_per_second,successful_steals,failed_steal_attempts,steal_attempts,steal_aborts,idle_seconds,load_min,load_max,load_mean,load_stddev,abp_overflows,chase_lev_resizes,inline_overflow_tasks,command
scaling,0,global,12,1,5,4096,4,0,14200,14200,1,0.011696,0.006639000,0.567629959,21811,21811,21811,1864825.581395,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,global,12,1,5,4096,4,0,14200,14200,1,0.012241,0.006639000,0.542357651,21811,21811,21811,1781798.872641,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,global,12,1,5,4096,4,0,14200,14200,1,0.012636,0.006639000,0.525403609,21811,21811,21811,1726100.031656,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,abp,12,1,5,4096,4,0,14200,14200,1,0.012519,0.006639000,0.530313923,21811,21811,21811,1742231.807652,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,abp,12,1,5,4096,4,0,14200,14200,1,0.012753,0.006639000,0.520583392,21811,21811,21811,1710264.251549,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,abp,12,1,5,4096,4,0,14200,14200,1,0.011512,0.006639000,0.576702571,21811,21811,21811,1894631.688673,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,chaselev,12,1,5,4096,4,0,14200,14200,1,0.012302,0.006639000,0.539668347,21811,21811,21811,1772963.745732,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,2,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler chaselev --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,chaselev,12,1,5,4096,4,0,14200,14200,1,0.013724,0.006639000,0.483751093,21811,21811,21811,1589259.691052,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,2,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler chaselev --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,chaselev,12,1,5,4096,4,0,14200,14200,1,0.013314,0.006639000,0.498648040,21811,21811,21811,1638200.390566,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,2,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler chaselev --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,global,12,2,5,4096,4,0,14200,14200,1,0.014117,0.006639000,0.470284055,21811,21811,21811,1545016.646596,0,0,0,0,0.000000,10474,11337,10905.500000,431.500000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 2 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
