scenario,repeat,scheduler,n,workers,split_depth,abp_capacity,chase_log_capacity,steal_attempt_budget,solutions,known_solutions,correct,elapsed_seconds,sequential_seconds,speedup,tasks_created,tasks_scheduled,tasks_completed,tasks_per_second,successful_steals,failed_steal_attempts,steal_attempts,steal_aborts,idle_seconds,load_min,load_max,load_mean,load_stddev,abp_overflows,chase_lev_resizes,inline_overflow_tasks,command
scaling,0,global,12,1,5,4096,4,0,14200,14200,1,0.011879,0.012465000,1.049330752,21811,21811,21811,1836097.314589,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,global,12,1,5,4096,4,0,14200,14200,1,0.012225,0.012465000,1.019631902,21811,21811,21811,1784130.879346,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,global,12,1,5,4096,4,0,14200,14200,1,0.012862,0.012465000,0.969133883,21811,21811,21811,1695770.486705,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,abp,12,1,5,4096,4,0,14200,14200,1,0.010946,0.012465000,1.138772154,21811,21811,21811,1992600.036543,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,abp,12,1,5,4096,4,0,14200,14200,1,0.011212,0.012465000,1.111755262,21811,21811,21811,1945326.435961,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,abp,12,1,5,4096,4,0,14200,14200,1,0.012542,0.012465000,0.993860628,21811,21811,21811,1739036.836230,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,chaselev,12,1,5,4096,4,0,14200,14200,1,0.012610,0.012465000,0.988501190,21811,21811,21811,1729659.000793,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,2,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler chaselev --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,chaselev,12,1,5,4096,4,0,14200,14200,1,0.012639,0.012465000,0.986233088,21811,21811,21811,1725690.323602,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,2,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler chaselev --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,chaselev,12,1,5,4096,4,0,14200,14200,1,0.011996,0.012465000,1.039096365,21811,21811,21811,1818189.396465,0,0,0,0,0.000000,21811,21811,21811.000000,0.000000,0,2,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler chaselev --n 12 --workers 1 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,global,12,2,5,4096,4,0,14200,14200,1,0.012381,0.012465000,1.006784589,21811,21811,21811,1761650.916727,0,0,0,0,0.000000,10635,11176,10905.500000,270.500000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 2 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,global,12,2,5,4096,4,0,14200,14200,1,0.013104,0.012465000,0.951236264,21811,21811,21811,1664453.601954,0,0,0,0,0.000000,10581,11230,10905.500000,324.500000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 2 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,global,12,2,5,4096,4,0,14200,14200,1,0.015069,0.012465000,0.827194903,21811,21811,21811,1447408.587166,0,0,0,0,0.000000,10623,11188,10905.500000,282.500000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 2 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,abp,12,2,5,4096,4,0,14200,14200,1,0.007340,0.012465000,1.698228883,21811,21811,21811,2971525.885559,11,2,13,0,0.000000,10702,11109,10905.500000,203.500000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 2 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,abp,12,2,5,4096,4,0,14200,14200,1,0.007639,0.012465000,1.631758084,21811,21811,21811,2855216.651394,14,2,16,0,0.000000,10676,11135,10905.500000,229.500000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 2 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,abp,12,2,5,4096,4,0,14200,14200,1,0.007461,0.012465000,1.670687575,21811,21811,21811,2923334.673636,10,4,14,0,0.000000,10734,11077,10905.500000,171.500000,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 2 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,chaselev,12,2,5,4096,4,0,14200,14200,1,0.007888,0.012465000,1.580248479,21811,21811,21811,2765086.206897,13,4,17,0,0.000000,10478,11333,10905.500000,427.500000,0,3,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler chaselev --n 12 --workers 2 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,chaselev,12,2,5,4096,4,0,14200,14200,1,0.009084,0.012465000,1.372192867,21811,21811,21811,2401034.786438,9,8,17,0,0.000000,10894,10917,10905.500000,11.500000,0,3,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler chaselev --n 12 --workers 2 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,chaselev,12,2,5,4096,4,0,14200,14200,1,0.007821,0.012465000,1.593785961,21811,21811,21811,2788773.814090,11,4,15,0,0.000000,10664,11147,10905.500000,241.500000,0,3,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler chaselev --n 12 --workers 2 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,global,12,4,5,4096,4,0,14200,14200,1,0.018795,0.012465000,0.663208300,21811,21811,21811,1160468.209630,0,0,0,0,0.000000,4965,5823,5452.750000,334.308521,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 4 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,global,12,4,5,4096,4,0,14200,14200,1,0.018912,0.012465000,0.659105330,21811,21811,21811,1153288.917090,0,0,0,0,0.000000,5283,5754,5452.750000,189.079844,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 4 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
scaling,2,global,12,4,5,4096,4,0,14200,14200,1,0.017410,0.012465000,0.715967835,21811,21811,21811,1252785.755313,0,0,0,0,0.000000,5349,5551,5452.750000,73.220130,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler global --n 12 --workers 4 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 3 --csv --skip-sequential
scaling,0,abp,12,4,5,4096,4,0,14200,14200,1,0.005566,0.012465000,2.239489759,21811,21811,21811,3918613.007546,49,124,173,2,0.000002,4951,6202,5452.750000,465.131366,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 4 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 1 --csv --skip-sequential
scaling,1,abp,12,4,5,4096,4,0,14200,14200,1,0.006945,0.012465000,1.794816415,21811,21811,21811,3140532.757379,58,83,141,3,0.000001,5133,5954,5452.750000,304.261709,0,0,0,C:\Users\aniru\OneDrive\Desktop\PCP\Project\build\ws_bench.exe --scheduler abp --n 12 --workers 4 --split-depth 5 --abp-capacity 4096 --chase-log-capacity 4 --steal-attempts 0 --seed 2 --csv --skip-sequential
